"Jack",3,3,1,1,1,2,2,1,2,1,1,1,1,1,1,1
"James",4,4,5,5,5,5,4,5,5,5,5,5,4,2,2,2
"Daniel",10,9,11,11,6,6,6,6,6,4,4,3,3,4,3,3
"Conor",1,1,3,4,4,4,3,4,3,3,3,4,5,5,5,4
"Sean",2,2,2,2,2,1,1,2,1,2,2,2,2,3,4,5
"Adam",5,5,4,3,3,3,4,3,4,6,7,7,7,7,6,6
"Ryan",16,13,17,18,14,12,13,12,14,7,6,6,6,6,7,7
"Michael",9,6,9,10,8,7,9,10,9,10,13,8,12,9,10,8
"Harry",100,70,63,56,68,56,56,50,41,31,31,28,20,8,7,9
"Noah",328,213,252,176,148,132,79,61,49,49,46,41,26,23,19,10
"Thomas",17,19,18,14,18,14,20,16,13,14,18,18,22,18,17,11
"Alex",59,57,48,45,35,29,26,24,23,20,10,9,8,10,18,12
"Luke",15,14,8,9,10,11,8,8,7,8,9,10,9,12,11,13
"Oisin",37,25,22,23,25,20,18,21,16,18,15,17,17,15,14,14
"Charlie",142,125,122,114,93,79,65,52,36,36,29,27,19,20,12,15
"Patrick",17,18,16,17,13,19,24,18,19,19,19,19,18,21,21,16
"Cian",12,12,6,6,7,8,7,7,8,9,11,12,14,13,15,17
"Liam",30,21,26,24,26,24,28,27,30,26,17,15,15,17,13,18
"Darragh",28,29,29,21,24,15,15,20,15,13,16,14,16,19,20,18
"Dylan",7,10,10,8,11,10,11,11,12,11,8,11,10,10,9,20
"Jamie",26,22,21,20,23,23,16,13,10,17,14,13,11,14,16,21
"Matthew",21,24,24,22,17,25,23,19,17,15,21,23,24,24,24,22
"Cillian",60,61,59,58,66,60,40,45,28,22,23,22,21,22,23,23
"Aaron",6,8,12,12,12,13,10,9,11,12,12,16,13,16,22,24
"Fionn",91,97,64,68,66,66,41,38,39,32,35,34,35,30,27,25
"Jake",51,51,42,34,30,31,36,30,29,28,30,35,31,34,31,26
"John",13,15,14,15,15,22,21,17,18,21,22,21,22,26,25,27
"David",8,7,7,7,9,9,12,14,21,16,20,25,25,24,27,28
"Ben",48,38,30,27,19,18,17,14,20,27,24,25,28,28,34,29
"Finn",147,175,131,95,88,75,71,57,66,54,49,48,46,36,38,30
"Nathan",36,26,32,32,27,28,29,28,32,37,34,32,29,29,26,31
"Kyle",55,60,50,53,36,35,32,35,38,38,38,40,37,36,32,32
"Samuel",55,55,57,49,43,37,34,35,34,35,39,37,39,39,40,33
"Evan",32,34,27,30,29,26,25,25,25,23,25,24,27,27,29,34
"Max",170,152,129,114,123,97,88,73,72,69,54,56,49,46,34,35
"Ethan",83,76,71,51,50,44,47,49,54,46,53,45,34,31,30,36
"Rian",128,152,124,108,116,129,100,84,77,58,62,60,54,42,33,37
"Joseph",40,31,33,31,33,32,31,31,39,33,32,36,37,41,44,38
"Alexander",75,68,72,65,56,49,59,47,56,56,45,50,51,49,54,39
"Mason",0,0,0,0,0,0,0,0,0,0,0,0,0,70,57,40
"Oliver",203,161,174,138,155,142,117,119,101,76,84,62,52,54,59,41
"Joshua",52,44,34,28,19,17,22,25,27,29,27,31,36,33,41,42
"William",57,50,46,52,49,55,54,51,50,44,47,55,45,47,51,43
"Eoin",20,16,15,18,16,15,14,21,26,24,26,20,29,32,36,44
"Jayden",628,614,489,0,521,649,306,307,305,85,54,49,47,50,43,45
"Oscar",142,136,171,131,112,111,107,79,92,81,65,65,61,62,61,46
"Callum",99,79,69,76,60,46,61,34,22,34,37,29,32,35,39,47
"Aidan",65,69,74,73,62,64,62,71,65,55,60,46,48,40,50,48
"Tom",117,127,119,94,90,83,98,79,71,74,77,62,65,66,58,49
"Robert",27,27,37,33,30,34,38,37,37,40,49,43,43,53,48,50
"Sam",92,87,94,89,71,70,59,59,58,59,57,44,41,45,46,51
"Tadhg",104,96,92,88,80,84,68,69,64,47,41,42,40,38,37,51
"Jacob",158,161,115,123,123,115,132,116,118,94,111,110,79,64,64,53
"Cathal",31,42,35,38,38,39,34,31,35,38,36,47,42,44,56,54
"Shane",11,11,13,13,21,21,19,23,24,25,28,30,33,43,47,55
"Leon",112,77,77,68,81,85,82,82,73,75,44,53,56,52,54,56
"Mark",14,17,18,16,22,27,27,29,31,30,33,33,44,50,48,57
"Senan",222,222,236,223,207,167,114,109,95,101,85,85,74,67,65,58
"Bobby",376,292,395,251,235,184,146,105,128,108,109,85,64,63,63,59
"Ronan",42,44,41,50,54,51,39,43,47,41,41,38,50,48,52,60
"Andrew",23,28,31,37,41,36,32,39,43,43,41,58,58,60,60,60
"Eoghan",49,41,47,44,48,41,52,41,50,52,47,39,55,55,53,62
"Leo",168,184,171,127,107,119,104,97,87,91,96,111,96,79,84,63
"Lucas",230,189,206,215,190,197,212,157,118,91,104,79,79,80,71,64
"Rory",53,64,65,61,57,52,48,68,45,48,51,52,57,56,42,65
"Alfie",0,0,0,0,0,305,317,252,184,195,146,115,97,85,79,66
"Tyler",222,214,183,191,204,214,213,146,172,123,146,130,83,65,45,67
"Benjamin",77,75,67,66,53,53,57,55,68,56,63,68,62,74,68,68
"Cormac",61,55,54,59,52,56,51,39,42,53,56,57,59,59,68,68
"Scott",81,83,70,66,58,59,42,58,56,67,71,70,73,83,67,70
"Christopher",41,40,43,42,47,46,53,60,53,61,61,61,70,69,105,71
"Odhran",168,184,138,121,163,156,100,106,107,104,88,82,77,88,82,72
"Kevin",25,33,25,36,32,38,44,47,48,44,59,51,67,58,70,73
"Ciaran",24,30,23,25,28,30,30,31,33,41,40,53,53,57,62,74
"Dara",115,118,100,90,95,86,81,81,77,80,82,73,71,73,86,75
"Alan",46,53,51,59,60,71,77,72,80,65,73,64,68,75,72,76
"Shay",203,266,274,209,185,187,167,156,134,134,119,97,75,106,103,76
"Tommy",0,0,0,0,0,0,0,0,0,0,0,0,0,88,80,78
"Anthony",54,52,58,56,64,68,80,75,70,71,79,80,86,83,99,79
"Logan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,79
"Jakub",0,614,0,0,848,649,504,306,134,105,63,58,60,61,73,81
"Rhys",147,133,109,137,109,142,114,107,104,76,67,75,66,68,66,82
"Tomas",117,122,115,101,103,109,84,86,92,99,91,81,86,97,93,83
"Donnacha",0,0,0,0,0,0,0,0,0,0,0,0,0,76,73,84
"Kai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,85
"Stephen",17,23,27,26,33,33,37,42,46,60,58,76,88,77,95,86
"Killian",58,59,61,55,65,67,70,62,59,61,67,76,62,72,76,87
"Niall",37,36,38,41,40,54,50,53,60,76,82,70,91,86,93,88
"Jason",33,35,39,45,37,45,49,65,60,68,71,72,77,71,86,89
"Josh",112,107,89,81,62,56,58,56,67,63,76,66,68,77,78,90
"Kayden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,91
"Brian",35,36,36,39,38,40,45,43,52,51,51,68,81,92,91,92
"Martin",64,64,62,70,74,73,74,76,76,73,81,73,83,88,89,92
"Ruairi",119,113,103,105,103,92,104,93,83,97,87,88,88,94,81,92
"Isaac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,95
"Danny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,96
"Edward",79,81,81,77,89,86,95,104,115,82,94,103,101,95,95,96
"Hugh",101,102,109,117,106,101,91,99,107,111,100,92,126,99,112,98
"Oran",137,105,138,96,99,80,88,78,97,86,86,90,75,80,83,98
"Sebastian",376,222,349,273,292,245,263,243,199,132,138,135,92,92,109,98
"Peter",42,48,53,48,50,50,66,64,62,65,70,67,83,87,89,101
"Daire",107,122,106,98,116,92,95,96,98,123,104,108,100,112,102,120
"Filip",628,0,686,0,0,504,441,278,202,134,95,87,71,80,76,102
"Lee",42,46,44,47,46,42,46,46,55,70,78,90,81,111,103,126
"Paul",34,39,40,43,45,48,43,54,62,72,75,76,90,97,103,124
"Zach",0,0,0,0,0,0,0,0,0,0,0,0,0,96,88,106
"Lorcan",102,95,92,93,97,119,91,111,105,112,92,92,97,108,107,115
"Kacper",0,0,0,0,0,0,504,399,213,108,93,95,102,104,98,107
"Billy",188,144,174,145,138,156,107,101,103,120,98,112,121,101,100,110
"Kian",268,184,99,63,73,65,67,74,85,101,88,95,123,101,112,152
"Dean",29,32,45,35,44,42,62,63,69,79,66,82,107,128,114,161
"Richard",73,63,82,75,82,105,110,107,125,115,123,138,128,137,129,171
"Daithi",628,333,274,773,267,245,278,209,186,130,138,122,93,100,116,102
"Calum",179,189,160,223,123,109,117,70,44,50,69,92,93,88,122,181
"Charles",137,125,124,103,122,107,93,99,83,90,114,99,112,104,122,110
"Padraig",68,61,78,79,84,89,84,84,80,86,117,103,102,106,122,123
"Louis",142,131,129,105,135,124,109,111,123,86,111,107,128,132,127,122
"Reece",109,97,98,82,96,92,120,116,102,99,114,145,114,128,133,138
"Daragh",95,92,82,80,94,88,86,88,123,108,131,103,157,157,135,171
"Patryk",462,458,395,773,451,649,953,236,201,123,98,97,95,125,135,192
"Jonathan",86,87,73,86,82,90,97,90,107,106,123,116,116,137,135,135
"Gerard",79,81,88,105,96,132,125,134,133,134,150,213,215,198,174,197
"Karl",69,71,94,78,110,97,100,93,111,134,175,183,219,263,243,296
"Eric",75,90,94,106,92,119,103,102,131,139,159,137,128,143,116,131
"Colm",66,54,65,71,76,73,74,86,73,82,116,99,151,128,141,117
"Philip",87,78,74,97,123,111,126,128,107,129,126,140,153,187,141,147
"Seamus",95,107,101,111,97,119,129,131,143,143,150,147,178,160,153,178
"Tristan",162,201,155,147,136,142,152,122,99,120,104,118,116,128,144,142
"Brendan",78,84,76,90,84,81,104,110,111,145,148,167,153,164,152,199
"Shaun",87,90,102,98,136,106,120,134,166,147,196,227,300,238,310,317
"Steven",83,97,97,131,99,124,135,128,140,147,159,158,225,245,310,296
"Brandon",74,67,67,83,70,76,78,98,79,97,101,125,116,170,148,127
"Diarmuid",102,94,84,83,77,97,87,77,91,82,96,152,112,143,148,161
"Ross",39,43,56,63,74,68,55,66,80,93,73,82,102,109,116,102
"Cameron",119,97,86,108,103,95,110,118,90,94,104,103,97,118,103,114
"Gavin",45,58,54,54,55,62,64,66,75,64,79,89,116,143,153,127
"Connor",71,118,106,101,90,76,83,114,95,117,134,122,135,137,156,197
"Christian",109,130,111,131,116,104,93,92,99,86,88,99,121,121,156,192
"Marcus",162,141,155,147,174,130,140,181,154,158,191,213,178,170,182,184
"Keith",63,74,86,74,79,90,124,123,140,162,198,183,239,342,354,383
"Darren",47,47,52,62,72,76,76,83,88,122,136,132,128,149,163,131
"Dillon",89,86,105,123,123,107,137,148,179,166,178,183,214,183,215,209
"Owen",82,85,84,83,84,103,88,95,92,116,102,119,123,136,169,167
"Colin",70,79,78,92,110,81,69,102,88,112,108,122,144,165,169,199
"Henry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glen",92,104,121,123,155,142,146,136,207,175,224,292,399,263,290,479
"Szymon",0,0,686,0,596,947,0,518,223,175,129,99,116,114,126,171
"Simon",92,105,106,106,129,109,113,126,118,132,161,173,175,142,180,178
"Barry",83,89,91,111,123,130,122,138,145,180,178,220,283,245,310,352
"Declan",98,102,106,114,113,128,120,138,145,186,161,177,187,204,267,245
"Emmet",95,133,113,121,130,126,140,146,161,186,246,183,225,204,250,276
"Denis",115,113,119,117,95,117,129,136,121,123,131,158,175,165,188,161
"Jordan",22,20,20,29,42,61,98,136,157,186,175,199,283,256,233,209
"Donal",89,92,113,123,134,136,143,126,145,190,150,155,187,183,221,202
"Ian",62,64,78,87,78,97,132,119,134,190,168,173,259,289,267,276
"Gary",71,72,89,98,87,117,112,160,145,201,187,195,275,215,310,383
"Neil",109,97,103,134,130,134,152,166,184,201,224,337,219,308,290,317
"Hugo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig",50,49,49,40,59,63,72,89,85,112,126,173,170,232,215,229
"Kieran",67,73,60,72,69,72,73,90,105,94,111,152,141,152,227,152
"Emmanuel",268,204,210,138,107,95,117,166,161,226,172,183,198,308,300,404